"ClaimID","ClaimSize"
"CLM56529","lessthan100K"
"CLM66153","lessthan100K"
"CLM58861","lessthan100K"
"CLM67972","200KandAbove"
"CLM69075","lessthan100K"
"CLM51876","lessthan100K"
"CLM61149","200KandAbove"
"CLM68149","200KandAbove"
"CLM61596","200KandAbove"
"CLM59774","lessthan100K"
"CLM69384","lessthan100K"
"CLM59710","lessthan100K"
"CLM64017","100K-lessthan200K"
"CLM62001","100K-lessthan200K"
"CLM52978","lessthan100K"
"CLM68284","lessthan100K"
"CLM55727","200KandAbove"
"CLM51808","100K-lessthan200K"
"CLM57298","lessthan100K"
"CLM69331","lessthan100K"
"CLM68082","lessthan100K"
"CLM64304","100K-lessthan200K"
"CLM63299","200KandAbove"
"CLM70090","lessthan100K"
"CLM63589","100K-lessthan200K"
"CLM64603","lessthan100K"
"CLM61445","lessthan100K"
"CLM62406","lessthan100K"
"CLM56551","100K-lessthan200K"
"CLM53824","200KandAbove"
"CLM69484","100K-lessthan200K"
"CLM68317","100K-lessthan200K"
"CLM64256","200KandAbove"
"CLM66266","200KandAbove"
"CLM51473","100K-lessthan200K"
"CLM60168","lessthan100K"
"CLM65553","200KandAbove"
"CLM55153","200KandAbove"
"CLM57105","200KandAbove"
"CLM55444","200KandAbove"
"CLM53740","lessthan100K"
"CLM58952","lessthan100K"
"CLM58936","lessthan100K"
"CLM58075","100K-lessthan200K"
"CLM53924","200KandAbove"
"CLM53663","lessthan100K"
"CLM55469","lessthan100K"
"CLM59936","lessthan100K"
"CLM56101","lessthan100K"
"CLM67448","200KandAbove"
"CLM51879","100K-lessthan200K"
"CLM59478","100K-lessthan200K"
"CLM66317","lessthan100K"
"CLM53337","lessthan100K"
"CLM61753","lessthan100K"
"CLM54959","lessthan100K"
"CLM53445","200KandAbove"
"CLM65438","lessthan100K"
"CLM68154","100K-lessthan200K"
"CLM58177","100K-lessthan200K"
"CLM63746","100K-lessthan200K"
"CLM52818","100K-lessthan200K"
"CLM58358","200KandAbove"
"CLM56258","lessthan100K"
"CLM66608","lessthan100K"
"CLM59593","lessthan100K"
"CLM66519","200KandAbove"
"CLM66563","lessthan100K"
"CLM66216","lessthan100K"
"CLM59425","lessthan100K"
"CLM65451","lessthan100K"
"CLM63051","lessthan100K"
"CLM64601","lessthan100K"
"CLM51012","100K-lessthan200K"
"CLM60102","lessthan100K"
"CLM55215","lessthan100K"
"CLM58273","100K-lessthan200K"
"CLM62733","lessthan100K"
"CLM57736","100K-lessthan200K"
"CLM53128","lessthan100K"
"CLM55664","lessthan100K"
"CLM63788","100K-lessthan200K"
"CLM58995","lessthan100K"
"CLM66087","200KandAbove"
"CLM52969","100K-lessthan200K"
"CLM59323","lessthan100K"
"CLM69850","lessthan100K"
"CLM68090","lessthan100K"
"CLM67963","lessthan100K"
"CLM54350","lessthan100K"
"CLM53501","100K-lessthan200K"
"CLM63496","200KandAbove"
"CLM57572","200KandAbove"
"CLM63564","200KandAbove"
"CLM57129","200KandAbove"
"CLM54591","lessthan100K"
"CLM65963","100K-lessthan200K"
"CLM52791","200KandAbove"
"CLM59928","lessthan100K"
"CLM60783","lessthan100K"
"CLM62474","100K-lessthan200K"
"CLM57365","lessthan100K"
"CLM60343","100K-lessthan200K"
"CLM69250","200KandAbove"
"CLM60233","100K-lessthan200K"
"CLM68022","100K-lessthan200K"
"CLM68482","200KandAbove"
"CLM62637","200KandAbove"
"CLM58851","100K-lessthan200K"
"CLM53812","lessthan100K"
"CLM68877","lessthan100K"
"CLM56758","lessthan100K"
"CLM52161","200KandAbove"
"CLM69112","200KandAbove"
"CLM64770","100K-lessthan200K"
"CLM53719","200KandAbove"
"CLM61496","100K-lessthan200K"
"CLM69229","lessthan100K"
"CLM62186","100K-lessthan200K"
"CLM58728","200KandAbove"
"CLM63377","200KandAbove"
"CLM57110","200KandAbove"
"CLM56878","lessthan100K"
"CLM55198","200KandAbove"
"CLM58057","lessthan100K"
"CLM69797","lessthan100K"
"CLM53945","100K-lessthan200K"
"CLM52739","100K-lessthan200K"
"CLM53710","lessthan100K"
"CLM64175","lessthan100K"
"CLM62824","lessthan100K"
"CLM68019","100K-lessthan200K"
"CLM63849","lessthan100K"
"CLM65071","lessthan100K"
"CLM60948","lessthan100K"
"CLM63595","100K-lessthan200K"
"CLM66686","200KandAbove"
"CLM66007","lessthan100K"
"CLM69700","lessthan100K"
"CLM59387","200KandAbove"
"CLM56949","200KandAbove"
"CLM58814","lessthan100K"
"CLM51200","200KandAbove"
"CLM54508","200KandAbove"
"CLM67079","100K-lessthan200K"
"CLM55411","lessthan100K"
"CLM55562","lessthan100K"
"CLM52463","lessthan100K"
"CLM55688","lessthan100K"
"CLM64965","200KandAbove"
"CLM67164","lessthan100K"
"CLM60489","100K-lessthan200K"
"CLM58398","200KandAbove"
"CLM55700","200KandAbove"
"CLM53119","200KandAbove"
"CLM58437","100K-lessthan200K"
"CLM61906","100K-lessthan200K"
"CLM55136","100K-lessthan200K"
"CLM59480","200KandAbove"
"CLM55156","lessthan100K"
"CLM60576","lessthan100K"
"CLM57747","200KandAbove"
"CLM63390","lessthan100K"
