"PolicyID","PolicyType","PolicyForm","Employment_status","BusinessClass","Perperson_Policylimit","PerOccurrence_PolicyLimit","CombinedSingleLimit","ClaimID","PolicyLimitPerInjury"
"P280529",1,1,"Y",17,0,0,5000000,"CLM56529",5000000
"P290153",2,1,"Y",9,0,5000000,0,"CLM66153",5000000
"P282861",2,1,"Y",6,0,0,5000000,"CLM58861",5000000
"P291972",4,2,"N",20,0,1000000,3000000,"CLM67972",1000000
"P293075",2,1,"N",6,0,1000000,0,"CLM69075",1000000
"P275876",1,1,"N",26,0,2000000,0,"CLM51876",2000000
"P285149",2,1,"N",8,0,0,1000000,"CLM61149",1000000
"P292149",4,1,"N",19,0,200000,0,"CLM68149",200000
"P285596",2,1,"N",7,0,0,300115,"CLM61596",300115
"P283774",2,1,"N",7,1000000,1000000,1000000,"CLM59774",1000000
"P293384",2,1,"Y",14,0,0,1000000,"CLM69384",1000000
"P283710",3,1,"N",14,0,0,1000000,"CLM59710",1000000
"P288017",2,1,"Y",7,1000000,0,0,"CLM64017",1000000
"P286001",1,1,"N",13,0,0,300000,"CLM62001",300000
"P276978",1,1,"Y",8,0,1000000,0,"CLM52978",1000000
"P292284",2,1,"Y",8,0,0,1000000,"CLM68284",1000000
"P279727",1,1,"Y",14,0,1000000,0,"CLM55727",1000000
"P275808",2,1,"Y",6,0,500000,500000,"CLM51808",500000
"P281298",2,1,"Y",7,0,0,1000025,"CLM57298",1000025
"P293331",2,1,"Y",14,0,0,55025,"CLM69331",55025
"P292082",4,2,"N",19,0,200000,0,"CLM68082",200000
"P288304",1,1,"N",8,0,1000000,0,"CLM64304",1000000
"P287299",2,1,"Y",7,0,0,1000000,"CLM63299",1000000
"P294090",2,1,"Y",14,0,1000000,1000000,"CLM70090",1000000
"P287589",2,1,"Y",8,0,0,1000000,"CLM63589",1000000
"P288603",2,1,"Y",7,0,0,1000000,"CLM64603",1000000
"P285445",2,1,"N",15,0,1000000,0,"CLM61445",1000000
"P286406",2,1,"N",7,0,0,1000069,"CLM62406",1000069
"P280551",4,1,"Y",26,0,5000000,0,"CLM56551",5000000
"P277824",1,1,"Y",14,0,500000,0,"CLM53824",500000
"P293484",2,1,"N",7,1000000,0,1000000,"CLM69484",1000000
"P292317",2,1,"Y",26,0,0,500001,"CLM68317",500001
"P288256",4,2,"Y",19,0,0,750000,"CLM64256",750000
"P290266",4,2,"Y",19,0,200000,0,"CLM66266",200000
"P275473",1,1,"Y",6,0,1000000,0,"CLM51473",1000000
"P284168",1,1,"Y",1,0,1000000,1000000,"CLM60168",1000000
"P289553",2,1,"Y",7,1000000,0,0,"CLM65553",1000000
"P279153",4,1,"N",22,0,5000000,5000000,"CLM55153",5000000
"P281105",4,1,"Y",22,0,5000000,5000000,"CLM57105",5000000
"P279444",4,1,"N",22,0,5000000,5000000,"CLM55444",5000000
"P277740",2,1,"Y",7,0,0,500010,"CLM53740",500010
"P282952",1,1,"Y",8,0,1000000,1000000,"CLM58952",1000000
"P282936",3,1,"N",13,0,0,1000000,"CLM58936",1000000
